RECORD	CROSS-SECTIONAL AREA	MEAN DIAMETER	MAX DIAMETER	MIN DIAMETER	ELASTIC EMOD	ELASTIC GRADIENT	ELASTIC EXT	ELASTIC STRESS	PLATEAU LOAD	PLATEAU STRESS	LOAD 15%	STRESS 15%	WORK 15%	LOAD 25%	STRESS 25%	WORK 25%	YIELD EXT	POSTYIELD GRADIENT	BREAK EXT	BREAK LOAD	BREAK STRESS	Break Stress	TOTAL WORK	TOUGHNESS
1	3506.9	67.7	74.8	59.7	3970000000	47.35	3.2	0.0121	46.31	0.01321	46.65	0.0133	0.001812	48.15	0.01373	0.00321	24.96	3.309	48.55	69.95	0.01995	195.6426675	0.007233	68820000
2	3659.9	71	85.3	54.6	3775000000	46.76	2.79	0.01198	44.81	0.01224	44.5	0.01216	0.001827	46.45	0.01269	0.003177	26.29	2.965	51.46	67.4	0.01842	180.638493	0.007579	68760000
3	4797.7	82.4	101.2	60.4	3906000000	63.09	3.07	0.01282	60.02	0.01251	59.6	0.01242	0.002468	61.4	0.0128	0.004259	24.44	3.858	47.23	84.9	0.0177	173.577705	0.00902	62090000
4	2934.4	62.9	72.2	51.9	4165000000	41.13	2.71	0.01223	37.04	0.01262	36.8	0.01254	0.001535	38.2	0.01302	0.002652	24.99	2.347	48.89	53.5	0.01823	178.7752295	0.005849	65810000
5	2078.4	52.5	59.4	44.5	4275000000	30	2.91	0.0133	28.76	0.01384	28.5	0.01371	0.001178	30	0.01443	0.002028	26.37	2.232	51.51	46.75	0.02249	220.5515585	0.005058	80610000
6	3829.4	73.3	84.8	57.5	3976000000	51.37	3.08	0.01298	50.21	0.01311	50.95	0.0133	0.002056	52.95	0.01383	0.003592	18.97	2.181	36.15	63.35	0.01654	162.201991	0.005444	47050000
7	4240.9	76.9	92.4	58.5	4018000000	57.09	2.86	0.01211	52.51	0.01238	51.6	0.01217	0.002158	54.05	0.01274	0.003732	27.15	3.465	52.47	80.45	0.01897	186.0321505	0.009227	71520000
8	2615.3	59.3	65.5	50.8	4047000000	35.49	2.7	0.01233	32.91	0.01258	32.3	0.01235	0.001356	33.4	0.01277	0.002349	30.13	1.895	58.75	50.8	0.01942	190.445143	0.00655	82390000
9	4104	72.7	80.8	64.6	3623000000	50.42	2.86	0.01211	50.84	0.01239	51	0.01243	0.002078	54	0.01316	0.003629	21.29	3.066	41.68	70.15	0.01709	167.5956485	0.006617	53640000
10	3711.2	73.8	88.9	53.2	3875000000	48.58	3.35	0.01324	49.9	0.01344	49	0.0132	0.002004	52	0.01401	0.003497	26.09	3.734	50.05	78.6	0.02118	207.704847	0.008314	74250000
11	3378.9	67.1	75.5	57	4224000000	47.97	2.8	0.0127	44.28	0.0131	43.6	0.0129	0.001813	44.6	0.0132	0.00312	31.19	2.554	60.8	69.9	0.02069	202.8995885	0.009189	89670000
12	3630.8	70.4	83.7	55.2	4235000000	51.82	2.98	0.01303	49.32	0.01359	49	0.0135	0.00202	51.7	0.01424	0.003484	23.68	3.806	45.67	73.95	0.02037	199.7614605	0.007291	66410000
13	5945.5	88.2	97.1	78	3606000000	72.1	3.1	0.01191	75.43	0.01269	75.2	0.01265	0.003039	79.55	0.01338	0.005331	25.5	6.132	48.99	121.5	0.02044	200.447926	0.01247	69220000
14	6161.4	92.3	108.8	72.1	4001000000	82.91	2.74	0.01164	75.85	0.01231	74.7	0.01212	0.003093	78.75	0.01278	0.005366	28.57	5.146	55.92	123.6	0.02005	196.6233325	0.01463	78360000
15	2262.7	54	59.9	48.1	3528000000	26.84	2.84	0.01142	27.57	0.01218	27.55	0.01218	0.001114	28.75	0.01271	0.001949	28.53	1.857	55.67	44.75	0.01978	193.975537	0.005296	77200000
16	4498.4	78	95.2	60.1	3813000000	57.59	2.7	0.01116	53.22	0.01183	54.25	0.01206	0.00216	56	0.01245	0.003803	24.54	3.034	47.6	75.65	0.01682	164.947853	0.008155	59710000
17	3046.7	63.4	71.5	54.3	4022000000	41.36	3.01	0.01264	38.63	0.01268	38.3	0.01257	0.001585	39.2	0.01287	0.002714	28.28	2.242	55.13	57.15	0.01876	183.972754	0.006996	76040000
18																								
19	4633.8	79.4	96.4	61.2	4138000000	65.01	3.13	0.01314	61.86	0.01335	61.4	0.01325	0.00251	63.9	0.01379	0.004366	23.82	4.564	46.34	91.9	0.01983	194.4658695	0.009252	66420000
20	3060.1	64.7	77	50.5	4233000000	43.77	2.65	0.01247	40.92	0.01337	42.6	0.01392	0.001651	44.05	0.0144	0.002951	21.09	2.352	41.41	56.95	0.01861	182.5017565	0.005319	57640000
21	3413.4	67.1	76.8	56.6	4402000000	49.68	2.85	0.0131	45.87	0.01344	45.45	0.01332	0.0019	47.55	0.01393	0.00331	26.99	3.148	51.77	72.5	0.02124	208.293246	0.008219	78100000
22	4000.1	73.6	84.3	60.4	3742000000	50.4	3.11	0.01242	50.29	0.01257	49.4	0.01235	0.002044	51.6	0.0129	0.003548	26.03	3.26	50.15	73.1	0.01827	179.1674955	0.008108	66960000
23	3473.1	69.8	82.1	53.8	3927000000	45.65	3.05	0.01276	44.82	0.01291	43.95	0.01265	0.001855	45.85	0.0132	0.003188	28.21	2.971	54.45	70.5	0.0203	199.074995	0.008311	78590000
24	3091.4	63.5	72.8	54.1	3849000000	40.2	2.85	0.01177	37.02	0.01197	35.8	0.01158	0.001493	37.35	0.01208	0.002582	34.01	1.95	66.89	61.5	0.01989	195.0542685	0.008708	93370000
25	3329.4	66.3	75.5	56.1	3862000000	43.11	3.06	0.01252	44.55	0.01338	44.7	0.01343	0.001831	48.05	0.01443	0.003211	20.13	2.926	38.39	61.35	0.01843	180.7365595	0.005354	52900000
																						179.3950915		